symbol,fund_name,observed_at,market_date,last_price,nav,nav_bubble
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-03 12:00:00+03:30,2025-09-03,15844.0,15866.0,-0.1386612882894239
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-06 12:00:00+03:30,2025-09-06,16080.0,15959.0,0.7581928692273951
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-07 12:00:00+03:30,2025-09-07,16296.0,16204.0,0.5677610466551469
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-08 12:00:00+03:30,2025-09-08,16049.0,16167.0,-0.7298818581060185
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-09 12:00:00+03:30,2025-09-09,16122.0,16162.0,-0.2474941220146021
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-13 12:00:00+03:30,2025-09-13,15639.0,15595.0,0.2821417120872074
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-14 12:00:00+03:30,2025-09-14,15667.0,15563.0,0.6682516224378333
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-15 12:00:00+03:30,2025-09-15,15960.0,15937.0,0.1443182531216665
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-16 12:00:00+03:30,2025-09-16,16219.0,16176.0,0.2658259149357072
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-17 12:00:00+03:30,2025-09-17,16287.0,16262.0,0.1537326282130119
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-20 12:00:00+03:30,2025-09-20,17128.0,17050.0,0.4574780058651026
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-21 12:00:00+03:30,2025-09-21,17349.0,17528.0,-1.021223185759927
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-22 12:00:00+03:30,2025-09-22,17360.0,17297.0,0.3642250101173613
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-23 12:00:00+03:30,2025-09-23,17740.0,17759.0,-0.1069880060814235
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-24 12:00:00+03:30,2025-09-24,18381.0,18309.0,0.3932492216942487
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-27 12:00:00+03:30,2025-09-27,18901.0,19008.0,-0.5629208754208754
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-28 12:00:00+03:30,2025-09-28,18049.0,18337.0,-1.570594971914708
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-29 12:00:00+03:30,2025-09-29,18819.0,18980.0,-0.8482613277133825
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-30 12:00:00+03:30,2025-09-30,19163.0,19326.0,-0.8434233674842182
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-01 12:00:00+03:30,2025-10-01,19541.0,19661.0,-0.6103453537459946
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-04 12:00:00+03:30,2025-10-04,19276.0,19433.0,-0.8079040806874903
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-05 12:00:00+03:30,2025-10-05,19152.0,19358.0,-1.0641595206116334
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-06 12:00:00+03:30,2025-10-06,19029.0,18950.0,0.41688654353562
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-07 12:00:00+03:30,2025-10-07,19641.0,19708.0,-0.3399634666125431
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-08 12:00:00+03:30,2025-10-08,20094.0,20256.0,-0.7997630331753554
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-11 12:00:00+03:30,2025-10-11,19750.0,19819.0,-0.3481507644179827
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-12 12:00:00+03:30,2025-10-12,19590.0,19698.0,-0.5482790130977765
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-13 12:00:00+03:30,2025-10-13,19571.0,19670.0,-0.5033045246568378
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-14 12:00:00+03:30,2025-10-14,19435.0,19547.0,-0.5729779505806517
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-15 12:00:00+03:30,2025-10-15,19860.0,19861.0,-0.0050349932027591
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-18 12:00:00+03:30,2025-10-18,19352.0,19468.0,-0.5958495993425108
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-19 12:00:00+03:30,2025-10-19,19795.0,19990.0,-0.975487743871936
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-20 12:00:00+03:30,2025-10-20,19702.0,19693.0,0.045701518305997
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-21 12:00:00+03:30,2025-10-21,19417.0,19698.0,-1.4265407655599551
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-22 12:00:00+03:30,2025-10-22,19200.0,19328.0,-0.6622516556291391
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-25 12:00:00+03:30,2025-10-25,19322.0,19362.0,-0.2065902282822022
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-26 12:00:00+03:30,2025-10-26,19362.0,19587.0,-1.148721090519222
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-27 12:00:00+03:30,2025-10-27,19205.0,19241.0,-0.1871004625539213
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-28 12:00:00+03:30,2025-10-28,18805.0,18760.0,0.2398720682302772
آتش,صندوق س.کالای کهکشان فیروزه,2025-10-29 12:00:00+03:30,2025-10-29,19005.0,19083.0,-0.4087407640308128
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-01 12:00:00+03:30,2025-11-01,19165.0,19251.0,-0.4467300399979222
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-02 12:00:00+03:30,2025-11-02,19132.0,19134.0,-0.0104525974704714
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-03 12:00:00+03:30,2025-11-03,19170.0,19171.0,-0.0052162119868551
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-04 12:00:00+03:30,2025-11-04,19232.0,19160.0,0.3757828810020877
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-05 12:00:00+03:30,2025-11-05,19189.0,19146.0,0.2245899926877676
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-08 12:00:00+03:30,2025-11-08,19158.0,19113.0,0.2354418458640715
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-09 12:00:00+03:30,2025-11-09,19154.0,19112.0,0.2197572205943909
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-10 12:00:00+03:30,2025-11-10,19416.0,19347.0,0.3566444409986044
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-11 12:00:00+03:30,2025-11-11,20171.0,20121.0,0.2484965955966403
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-12 12:00:00+03:30,2025-11-12,20608.0,20684.0,-0.3674337652291626
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-15 12:00:00+03:30,2025-11-15,20554.0,20460.0,0.4594330400782014
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-16 12:00:00+03:30,2025-11-16,20240.0,20143.0,0.4815568683910043
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-17 12:00:00+03:30,2025-11-17,20402.0,20314.0,0.4331987791670769
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-18 12:00:00+03:30,2025-11-18,20347.0,20284.0,0.3105896272924472
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-19 12:00:00+03:30,2025-11-19,20620.0,20583.0,0.1797599961132973
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-22 12:00:00+03:30,2025-11-22,20309.0,20214.0,0.4699713070149401
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-23 12:00:00+03:30,2025-11-23,20495.0,20414.0,0.3967865190555501
آتش,صندوق س.کالای کهکشان فیروزه,2025-11-25 12:00:00+03:30,2025-11-25,20608.0,20532.0,0.3701539060977985
